Countries,"Milk, cheese, and eggs prices, 2017",Global rank,Available data
South Korea,227.69,1,2017 - 2017
Liberia,213.25,2,2017 - 2017
Montserrat,209.46,3,2017 - 2017
Bahamas,204.57,4,2017 - 2017
C.A. Republic,197.98,5,2017 - 2017
Bermuda,192.98,6,2017 - 2017
Israel,192.16,7,2017 - 2017
Ant.& Barb.,188.47,8,2017 - 2017
Hong Kong,187.16,9,2017 - 2017
Angola,186.75,10,2017 - 2017
Saint Lucia,176.4,11,2017 - 2017
Japan,173.59,12,2017 - 2017
Norway,173.17,13,2017 - 2017
Jamaica,172.92,14,2017 - 2017
Comoros,171.94,15,2017 - 2017
Grenada,170.66,16,2017 - 2017
Iceland,167.47,17,2017 - 2017
Djibouti,165.63,18,2017 - 2017
Uruguay,162.19,19,2017 - 2017
New Zealand,161.52,20,2017 - 2017
Tr.&Tobago,158.98,21,2017 - 2017
Ghana,154.7,22,2017 - 2017
St. Vincent & ...,154.2,23,2017 - 2017
Aruba,153.35,24,2017 - 2017
Canada,152.46,25,2017 - 2017
China,149.34,26,2017 - 2017
Haiti,148.93,27,2017 - 2017
Barbados,146.9,28,2017 - 2017
Dominica,146.87,29,2017 - 2017
Fiji,146.29,30,2017 - 2017
DR Congo,145.85,31,2017 - 2017
Benin,145.57,32,2017 - 2017
S.T.&Principe,144.81,33,2017 - 2017
Australia,144.57,34,2017 - 2017
Argentina,142.74,35,2017 - 2017
Ivory Coast,140.94,36,2017 - 2017
Cameroon,139.99,37,2017 - 2017
Guyana,139.91,38,2017 - 2017
Switzerland,138.91,39,2017 - 2017
Cyprus,138.43,40,2017 - 2017
Niger,138.38,41,2017 - 2017
Chile,137.71,42,2017 - 2017
Mali,137.34,43,2017 - 2017
Costa Rica,134.49,44,2017 - 2017
Ethiopia,134.49,45,2017 - 2017
Guinea,133.28,46,2017 - 2017
Burkina Faso,132.78,47,2017 - 2017
Singapore,132.77,48,2017 - 2017
Greece,131.34,49,2017 - 2017
Panama,131.18,50,2017 - 2017
Taiwan,130.98,51,2017 - 2017
Burundi,129.85,52,2017 - 2017
Rwanda,129.7,53,2017 - 2017
Seychelles,129.12,54,2017 - 2017
UA Emirates,128.89,55,2017 - 2017
Senegal,128.49,56,2017 - 2017
Eq. Guinea,127.79,57,2017 - 2017
Luxembourg,127.61,58,2017 - 2017
Maldives,126.78,59,2017 - 2017
R. of Congo,126.63,60,2017 - 2017
G.-Bissau,122.16,61,2017 - 2017
Ireland,121.71,62,2017 - 2017
Brazil,121.49,63,2017 - 2017
Brunei,121.49,64,2017 - 2017
Chad,121.42,65,2017 - 2017
Gabon,121.26,66,2017 - 2017
Namibia,117.62,67,2017 - 2017
Domin. Rep.,117.01,68,2017 - 2017
Sweden,115.63,69,2017 - 2017
Peru,114.76,70,2017 - 2017
Togo,114.52,71,2017 - 2017
Denmark,114.51,72,2017 - 2017
Belize,114.47,73,2017 - 2017
Malta,113.54,74,2017 - 2017
Italy,113.15,75,2017 - 2017
Finland,112.18,76,2017 - 2017
Kuwait,111.68,77,2017 - 2017
Botswana,111.15,78,2017 - 2017
Ecuador,110.77,79,2017 - 2017
USA,109.91,80,2017 - 2017
Zimbabwe,109.44,81,2017 - 2017
Philippines,108.05,82,2017 - 2017
Gambia,108.03,83,2017 - 2017
Mozambique,107.89,84,2017 - 2017
Jordan,107.83,85,2017 - 2017
Portugal,107.55,86,2017 - 2017
Belgium,107.31,87,2017 - 2017
Qatar,107.29,88,2017 - 2017
Indonesia,106.59,89,2017 - 2017
Laos,106.33,90,2017 - 2017
Zambia,106.19,91,2017 - 2017
Austria,104.69,92,2017 - 2017
Georgia,104.68,93,2017 - 2017
Bahrain,104.67,94,2017 - 2017
South Africa,104.26,95,2017 - 2017
Turkey,104.21,96,2017 - 2017
Swaziland,104.11,97,2017 - 2017
Mauritania,103.7,98,2017 - 2017
Cambodia,102.91,99,2017 - 2017
Tanzania,101.97,100,2017 - 2017
Latvia,101.68,101,2017 - 2017
Mauritius,101.07,102,2017 - 2017
Thailand,100.38,103,2017 - 2017
El Salvador,100.25,104,2017 - 2017
Slovenia,100.05,105,2017 - 2017
Estonia,99.17,106,2017 - 2017
Kenya,98.7,107,2017 - 2017
Malawi,97.85,108,2017 - 2017
Netherlands,97.42,109,2017 - 2017
Saudi Arabia,97.34,110,2017 - 2017
France,97.3,111,2017 - 2017
Pakistan,97.13,112,2017 - 2017
Colombia,96.94,113,2017 - 2017
Vietnam,96.54,114,2017 - 2017
Slovakia,96.52,115,2017 - 2017
Suriname,95.64,116,2017 - 2017
Iraq,95.62,117,2017 - 2017
Lesotho,95.14,118,2017 - 2017
Croatia,94.89,119,2017 - 2017
Sierra Leone,94.58,120,2017 - 2017
Sri Lanka,94.28,121,2017 - 2017
Honduras,94.06,122,2017 - 2017
Oman,93.99,123,2017 - 2017
Bangladesh,93.78,124,2017 - 2017
Spain,93.74,125,2017 - 2017
Bulgaria,93.51,126,2017 - 2017
Mongolia,92.27,127,2017 - 2017
Malaysia,92.02,128,2017 - 2017
Armenia,90.58,129,2017 - 2017
Hungary,90.56,130,2017 - 2017
Germany,90.25,131,2017 - 2017
UK,90.21,132,2017 - 2017
Romania,89.28,133,2017 - 2017
Russia,89.16,134,2017 - 2017
Cape Verde,88.63,135,2017 - 2017
Madagascar,88.58,136,2017 - 2017
Albania,87.03,137,2017 - 2017
Nigeria,86.59,138,2017 - 2017
Lithuania,86.58,139,2017 - 2017
Uganda,86.43,140,2017 - 2017
Burma,86.1,141,2017 - 2017
Czechia,85.81,142,2017 - 2017
Paraguay,85.73,143,2017 - 2017
Morocco,84.77,144,2017 - 2017
Serbia,84.31,145,2017 - 2017
Montenegro,83.13,146,2017 - 2017
Bhutan,82.44,147,2017 - 2017
Tajikistan,82.02,148,2017 - 2017
Nicaragua,81.71,149,2017 - 2017
Bosnia & Herz.,80.38,150,2017 - 2017
Mexico,79.38,151,2017 - 2017
Iran,79.23,152,2017 - 2017
Kazakhstan,76.71,153,2017 - 2017
Sudan,76.54,154,2017 - 2017
Moldova,75.84,155,2017 - 2017
Nepal,75.83,156,2017 - 2017
Kyrgyzstan,75.58,157,2017 - 2017
Algeria,73.09,158,2017 - 2017
Bolivia,70.83,159,2017 - 2017
Azerbaijan,70.22,160,2017 - 2017
North Macedonia,69.97,161,2017 - 2017
India,68.69,162,2017 - 2017
Poland,67.68,163,2017 - 2017
Belarus,65.82,164,2017 - 2017
Ukraine,62.54,165,2017 - 2017
Egypt,60.89,166,2017 - 2017
Tunisia,55.91,167,2017 - 2017
